[INFO][2018-03-22 16:39:05.007902][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:09.991964][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:15.318357][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:22.364334][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:27.484205][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:32.877504][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:38.492653][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:43.547505][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:48.917543][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:39:54.123742][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:07.549041][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:21.257586][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:27.351636][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:32.994572][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:38.557009][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:43.761591][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:49.785576][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:44:55.503115][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:45:00.633751][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:45:08.025633][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:45:13.757819][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:12.749990][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:17.893536][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:24.349167][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:29.495039][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:34.778656][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:40.005552][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:46.016277][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:51.268446][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:51:56.701520][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:55:40.077151][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:55:40.077266][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:55:46.627333][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:55:52.327238][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:55:57.500433][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:56:04.797285][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:57:27.852120][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:57:40.532943][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:57:46.647270][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:57:52.107849][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:57:58.185725][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:03.722620][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:08.945057][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:14.265401][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:58:19.587418][ Manual ]Contacted? (y/n)
